location,transit_id,school_id
25th & wolf st,NA,NA
6600 block haddington lane,NA,NA
4200 block macalester  st,NA,NA
1000 block w louden st,NA,NA
5100 block irving st,NA,NA
2900 block w norris st,NA,NA
5900 block ludlow st,NA,NA
6600 block leonard st,NA,NA
500 block n6th st,NA,NA
3100 block berkeley dr,NA,NA
800 block w bristol st,NA,NA
4200 block germantown ave,NA,"STEEL, EDWARD SCHOOL"
4500 block castor ave,NA,NA
100 block e indiana ave,NA,NA
100 block e indiana st,NA,NA
1100 block w oakdale st,NA,NA
3200 block shelbourne st,Market-Frankford Line - Allegheny,NA
1000 block w hunting park ave,NA,NA
1000 block hunting park ave,NA,NA
2400 block aramingo av,NA,NA
4800 block whitaker ave,NA,NA
3100 block jasper st,NA,"CONWELL, RUSSELL MIDDLE SCHOOL"
3200 block e st,NA,NA
2600 block n b st,Market-Frankford Line - Huntingdon,NA
700 block w allegheny ave,NA,NA
3800 block girard ave,NA,NA
1300 block w westmorland st,NA,NA
1300 block w westmoreland st,NA,NA
1300 block s 55th st,NA,MASTERY CHARTER AT HARDY WILLIAMS
3100 block ridge ave,NA,NA
3500 block amber st,NA,NA
900 block ndelaware ave,NA,NA
1500 block foulkrod st,NA,NA
2600 block n 7th st,NA,NA
3800 block woodhaven rd,NA,NA
1200 block w lycoming st,NA,NA
5200 block greene st,NA,NA
100 block e godfrey ave,NA,NA
1100 block s 25th st,NA,NA
4900 block d st,NA,NA
3200 block n 6th st,NA,NA
1400 block jerome st,NA,NA
1400 block w jerome st,NA,NA
700 block adams ave,NA,NA
400 block e wyoming st,NA,NA
d st & wyoming ave,NA,NA
2000 block albright st,NA,NA
200 block w lehigh ave,NA,NA
3900 block whitaker ave,NA,NA
4600 block wellington st,NA,NA
3300 block n lee st,NA,NA
600 block w pike st,NA,NA
600 block w spencer st,NA,NA
2900 block w arizona st,NA,NA
4000 block torresdale ave,NA,NA
5600 block hoffman st,NA,NA
1400 block w erie ave,Broad Street Line - Erie,NA
1900 block e clarence st,NA,NA
1700 block pacific st,NA,NA
2400 block s 11th street,NA,NA
2600 block w berks st,NA,NA
2100 block anchor st,NA,NA
8200 block forrest av,NA,NA
400 block e courtland st,NA,NA
2400 block n 23rd st,NA,NA
5800 block kinsessing ave,NA,NA
500 block w rockland st,NA,NA
6100 block  bustleton ave,NA,NA
2900 block oakford st,NA,NA
5100 block n 2nd st,NA,NA
5400 block arch st,NA,NA
57th st  /  elmwood ave,NA,NA
4100 block presdiential blvd,NA,NA
3600 block n 9th st,NA,NA
2600 block n 25th st,NA,NA
600 block church lane,NA,NA
3600 block jasper st,NA,NA
3100 block martha st,NA,NA
1800 block torresdale ave,Market-Frankford Line - Erie-Torresdale,NA
1900 block s 61st st,NA,NA
0 block e montana st,NA,NA
3200 block germantown ave,NA,NA
3300 block a st,NA,NA
3300 block a street,NA,NA
1300 block belmont st,NA,NA
200 block n columbus blvd,NA,NA
1300 block e lycoming st,NA,"HOPKINSON, FRANCIS SCHOOL"
2600 block w toronto st,NA,NA
0 block chestnut st,NA,NA
1900 block e atlantic st,NA,NA
4700 block girard ave,NA,GLOBAL LEADERSHIP ACADEMY
2200 block n broadst,Broad Street Line - Susquehanna-Dauphin,TECH FREIRE CHARTER SCHOOL
700 block w hunting park ave,NA,NA
4500 block wellington st,NA,NA
100 block w cumberland st,NA,"HUNTER, WILLIAM H. SCHOOL"
5500 block wissahickon ave,NA,NA
1800 block e allegheny ave,Market-Frankford Line - Allegheny,NA
1800 block e allegheny av,Market-Frankford Line - Allegheny,NA
7300 block woodland ave,NA,NA
2000 block judson st,NA,NA
5200 block marion st,NA,NA
52nd st & lancaster ave,NA,NA
52nd & lancaster ave,NA,NA
3200 block almond st,NA,NA
1100 block w lycoming st,NA,LITTLE FLOWER CATHOLIC SCHOOL
1100 block w lycoming ve,NA,LITTLE FLOWER CATHOLIC SCHOOL
200 block e ruscomb st,NA,NA
2700 block n hope st,NA,NA
3100 block byberry road,NA,NA
n broad st  & windrim av,Broad Street Line - Logan,NA
3100 block rorer st,NA,NA
600 block w rising sun ave,NA,NA
5900 block arch st,NA,NA
5600 block ogontz st apt #a65,NA,NA
5600 block ogontz ave,NA,NA
10800 block e keswick st,NA,NA
5200 block westminster ave,NA,NA
5100 block n 8th st,NA,NA
100 block e clearfield st,NA,NA
800 block e woodlawn st,NA,NA
2400 block welsh road,NA,NA
3300 block kip st,NA,NA
300 block n 32nd st,NA,NA
1400 block s water st,NA,NA
1700 block s 4th st,NA,NA
4400 block n 16th st,NA,NA
400 block w nedro ave,NA,SOPHIA ACADEMY
900 block w norris st,NA,NA
2100 block w lehigh ave,NA,NA
2800 block kensington ave,Market-Frankford Line - Somerset,NA
2200 block n uber st,NA,NA
2200 block nuber st,NA,NA
2200 block uber st,NA,NA
1400 block conlyn st,NA,NA
1400 block w conlyn st,NA,NA
2900 block w york st,NA,NA
7200 block woolston ave,NA,NA
1800 block e clearfield st,NA,NA
100 block e cambria st,NA,NA
1300 block pratt st,NA,NA
4800 block summerdale ave,NA,NA
100 block w westmorland st,NA,NA
2100 block n 17th st,NA,NA
2900 block a street,NA,NA
1000 block e hunting park ave,NA,NA
1000 block e montgomery ave,NA,NA
3700 block m street,NA,NA
5200 block harbison ave,NA,NA
500 block w sedgley st,NA,NA
6800 block buist ave,NA,NA
700 block jefferson st,NA,NA
7700 block lindbergh lvd apt#415,NA,NA
1900 block s 66th st,NA,"CATHARINE, JOSEPH SCHOOL"
1500 block e wingohocking st,NA,NA
2900 block cumberland st,NA,NA
2900 block w cumberland st,NA,NA
200 block w cambria st,NA,NA
